id,type,text1,text2,text3,notes
,,,,,
SAD_shrike_rack,WEAPON,"A short-ranged tracking missile, launched from a triple-rack. Intended to bypass active defenses by virtue of overwhelming velocity.

Railgun assisted kinetic penetrator.  Potent Propulsion, but limited fuel capacity, giving almost no chance of recovery if the shot misses.  Effective primarily against shields.  It is fitted with a small explosive charge, which is set to go off when it impacts a targeted ships hull; while the damage to the hull is typically small, this can damage and disrupt shipboard systems.

This Sanguinary Anarchist modification increases the accuracy but reduces the explosive damage of the missile.",Close Support,,
SAD_shrike_pod,WEAPON,"A short-ranged tracking missile, launched from a magazine-fed dual pod. Intended to pierce active defenses by virtue of overwhelming velocity.

Railgun assisted kinetic penetrator.  Propulsion is very potent, but the fuel supply is quite limited, giving almost no chance of recovery if the shot misses.  Effective primarily against shields. It is fitted with a small explosive charge, which is set to go off when it impacts a targeted ships hull; while the damage to the hull is typically small, this can damage and disrupt shipboard systems.

This Sanguinary Anarchist modification increases the accuracy but reduces the explosive damage of the missile.",Close Support,,
SAD_cepc,WEAPON,"The CEPC, or Carried Energy Pulse Cannon, is a SRA weapon system capable of significant, if front loaded, damage.

Rather than fire the bolt through a typical lasing medium or projector, Shadowyards researchers opted to utilize a physical medium to act as a carrier for the energy pulse.  While the method has proven to be somewhat more efficient than many other methods and can produce highly damaging bolts, the Charge Carrier Medium (CCM) must be charged before firing, resulting in a limited capacity of available shots at any given time.  The CEPC's fire rate is more than sufficient for this to lead to noticeable drops in combat efficiency in fairly short time frames.

This Sanguinary Anarchist modification modifies the number of projectiles fired per shot.",Close Support,,
SAD_hcepc,WEAPON,"The CEPC, or Carried Energy Pulse Cannon, is an SRA weapon system capable of significant, if front loaded, damage.

Rather than fire the bolt through a typical lasing medium or projector, Shadowyards researchers opted to utilize a physical medium to act as a carrier for the energy pulse.  While the method has proven to be somewhat more efficient than many other methods and can produce highly damaging bolts, the Charge Carrier Medium (CCM) must be charged before firing, resulting in a limited capacity of available shots at any given time.  The CEPC's fire rate is more than sufficient for this to lead to noticeable drops in combat efficiency in fairly short time frames.

This Sanguinary Anarchist modificaiton modifies the number of projectiles fired per shot.",Close Support,,
SAD_stopper1,WEAPON,"Sometimes, you need a Scatter CEPC for your phase ship.
This Stopper version of the Shamash does not bypass shields or damage engines, but inflicts true damage.",Close Support,,
SAD_pdcepc,WEAPON,"The Light variant of the CEPC is the SRA's most common dedicated CIWS system, focused on maintaining a high fire rate with excellent accuracy.

Cyclic loading chambers allow the weapon to maintain an extremely high rate of fire; charge carriers are small but capable of reasonable damage at short range.  High accuracy and limited engagement envelope leave it most effective for providing Close Weapons Support against enemy fighters and missiles.",Point Defense,,
SAD_mcepc,WEAPON,"The Medium CEPC is well liked amongst Shadowyards forces, well regarded as a reliable and deadly weapons platform, despite the high fitting requirements this advanced hardware requires.

Twin cannons ensure a high rate of fire with good accuracy while extended accelerator rails give it superior range.  An improved charging system allows it to fire larger CCM pellets safely, which has greatly improved the weapons damage at some cost in efficiency.

This Sanguinary Anarchist modification modifies the number of projectiles fired per shot.",Assault,,
SAD_wamgun,WEAPON,"Featuring distinctive crescent-bolts of energy, the 'Wavepulse' Cannon is a general-purpose, if exotic, weapon of war.

Ultimately a simple weapon, the Wavepulse is actually numerous smaller particle cannons, horizontally aligned firing in sequence to produce a much larger blast of energy.  Of only middling efficiency, the configuration of particle projectors is nevertheless quite effective at producing localized stress to shields and armor, and the weapon is noted for leaving distinctive 'scars' on damaged hull plating.  The resulting 'cutting' effect can on occasion inflict additional damage as a result of secondary stresses resulting from the unusual damage pattern.

This Sanguinary Anarchist modification increases the shot capacity of the weapon at a significant cost to damage output.",Close Support,,
SAD_mpolar,WEAPON,"The Polarizer is an energy weapon that delivers an modest electromagnetic pulse (EMP) charge. The polarizer carries its charges on a variant of the CEPC's carrier medium, which, in its highly charged state, becomes unstable; it also fires a shielded micro-sensor which detects hostile craft and causes the blast to explode, delivering its charge to targets within a short range.

As such the Polarizer sees a good deal of use as a general purpose close defense battery, though it remains useful in disabling enemy ships.

The medium version from the Sanguinary Anarchists always uses the same ammo, but has a higher fire-rate.",Special,,
SAD_stormBlaster,WEAPON,"The Stormblaster is a rotary energy weapon system with an extremely high rate of fire. With an insane ammo capacity, it can shoot for a long time before it runs out.
Particle masses become unstable after a short distance and tend to detonate spectacularly when near dense concentrations of matter, such as starships.  Though it's damage against shields and armor is middling at best, the Storm Blaster shines when engaging small craft or vessels with unprotected hull.",Close Support,,
SAD_slowbeamM,WEAPON,This unique weapon of Atan-Class is a Mono CAS Beam reduced for be usable for the Atan.,Close Support,,
SAD_slowbeamH,WEAPON,"The Break CAS Beam is a variant of the Deva CAS Beam, where the damage output is constant, but the impact is pretty weak.",Close Support,,
,,,,,
SAD_booster,SHIP_SYSTEM,"Activates ancilliary thrusters as well as increasing main drive output, leading to a brief increase to maximum speed at the cost of flux.",Movement,Provides a brief boost to top speed.,
SAD_displacer,SHIP_SYSTEM,Teleports the ship forward in the direction it's traveling. The system slowly builds up to four charges which can then be expended in short order.,Movement,Teleports the ship forward in the direction it's traveling. The system can store up to four charges at once and generates flux when used.,
SAD_reservewing,SHIP_SYSTEM,"This ship system is exactly the same as the standard shipsystem, except that it does not deploy the extra fighters if they cost more than 15 OP. Always deploys 2 extra fighters except if the wing is a unique one.",Fighter,Deploys an extra 2 fighter craft that can fight for a short time before returning to the carrier. Does not deploy craft if the OP cost is greater than 15.,
SAD_siegemode,SHIP_SYSTEM,"While in use, this system improves shield and weapon efficiency as well as weapons range, but reroutes power from the thrusters  in the process, greatly impairing mobility.",Defensive,"Improves shield efficiency, weapon efficiency, and weapons range. Greatly reduces mobility.",
SAD_DisturbSystem,SHIP_SYSTEM,"This system uses the sensors to find weaknesses in enemy ships, increasing the damage they take by 25%. ",Offensive,"This system uses the sensors to find weaknesses in enemy ships, increasing the damage they take by 25%. ",
SAD_transform,SHIP_SYSTEM,"The Apis can switch between a high mobility mode, boosting engine performance by 50 percent, and a heavy assault mode, boosting range and recoil of weapons by 50 percent and reducing their flux cost by 50 percent.",Offensive,Switch between high mobility or heavy assault modes.,
